Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,115.400000,-69.800000,180.000000,Top
C2,1uF,C_0402_1005Metric,115.400000,-70.800000,180.000000,Top
C3,10uF,C_0805_2012Metric,122.400000,-64.600000,180.000000,Top
C4,22uF,C_1206_3216Metric,131.000000,-67.975000,-90.000000,Top
C5,220uF 25V,CP_Elec_6.3x7.7,148.000000,-64.000000,90.000000,Top
C6,22uF,C_1206_3216Metric,133.900000,-68.000000,-90.000000,Top
C8,220uF 25V,CP_Elec_6.3x7.7,148.000000,-75.100000,-90.000000,Top
C9,100nF,C_0402_1005Metric,118.800000,-66.600000,90.000000,Top
C10,100nF,C_0402_1005Metric,113.200000,-71.400000,180.000000,Top
D1,STAT,LED_0402_1005Metric,108.800000,-69.600000,0.000000,Top
D2,SS34,D_SMA,128.000000,-66.000000,-90.000000,Top
D3,SS34,D_SMA,142.300000,-65.200000,-90.000000,Top
J2,I2C JST-PH RA,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,104.450000,-61.000000,-90.000000,Top
J3,SOLENOID 12V,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,154.000000,-64.000000,90.000000,Top
J6,HALL DOOR,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,104.450000,-74.000000,-90.000000,Top
J7,HALL BOLT,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,112.000000,-74.550000,0.000000,Top
L1,10uH,L_Changjiang_FNR6045S,123.000000,-74.000000,-90.000000,Top
Q1,AO3400A,SOT-23,138.700000,-64.262500,90.000000,Top
Q2,AO3400A,SOT-23,134.000000,-61.000000,90.000000,Top
Q3,AO3401A,SOT-23,129.150000,-72.062500,90.000000,Top
Q4,AO3400A,SOT-23,129.000000,-76.000000,180.000000,Top
Q5,AO3400A,SOT-23,133.137500,-75.950000,180.000000,Top
R1,1k,R_0402_1005Metric,107.200000,-70.110000,-90.000000,Top
R2,100k,R_0402_1005Metric,124.800000,-64.910000,90.000000,Top
R3,200k,R_0402_1005Metric,133.510000,-65.000000,180.000000,Top
R4,22k,R_0402_1005Metric,131.310000,-65.000000,180.000000,Top
R5,100R,R_0402_1005Metric,136.100000,-65.800000,180.000000,Top
R6,100k,R_0402_1005Metric,138.600000,-66.800000,0.000000,Top
R13,0R,R_0402_1005Metric,133.937500,-72.550000,-90.000000,Top
R15,1k,R_0402_1005Metric,143.500000,-70.500000,180.000000,Top
R16,10k,R_0402_1005Metric,141.900000,-70.000000,90.000000,Top
R17,20k,R_0402_1005Metric,131.310000,-63.300000,180.000000,Top
R18,100k,R_0402_1005Metric,134.000000,-63.500000,0.000000,Top
R19,100k,R_0402_1005Metric,131.837500,-72.550000,90.000000,Top
R20,100k,R_0402_1005Metric,129.937500,-78.350000,180.000000,Top
R21,10k,R_0402_1005Metric,131.437500,-77.800000,-90.000000,Top
R22,10k,R_0402_1005Metric,115.400000,-71.800000,0.000000,Top
R23,10k,R_0402_1005Metric,110.600000,-71.600000,-90.000000,Top
R24,1k,R_0402_1005Metric,135.000000,-79.600000,0.000000,Top
R25,10k,R_0402_1005Metric,140.800000,-70.000000,90.000000,Top
U1,ATtiny1616,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,114.800000,-67.050000,90.000000,Top
U2,MT3608,SOT-23-6,123.800000,-68.100000,90.000000,Top
